book_title,category,language_book,language_read,id,context,language_group,category_new
daybydaybegintoreadbible_fighting_and_hurting_mor,narrative,english,english,20034,2,english,prose
daybydaybegintoreadbible_the_words_we_say_mor,narrative,english,english,20034,2,english,prose
daybydaybegintoreadbible_what_makes_god_happy_mor,narrative,english,english,20034,2,english,prose
thetoddlersbible_a_special_gift_for_king_solomon_mor,narrative,english,english,20034,2,english,prose
thetoddlersbible_ravens_feed_elijah_mor,narrative,english,english,20034,2,english,prose
a_day_at_the_beach_dora_the_explorer_mor,narrative,english,english,20048,5,english,prose
fox_in_socks_mor,nonnarrative,english,english,20050,4,english,rhyme
the_berenstain_bears_new_baby_mor,narrative,english,english,20050,2,english,prose
dear_zoo_mor,narrative,english,english,20050,2,english,frame
eevil_weevil_mor,narrative,english,english,20050,7,english,prose
telescope_overboard_clean,narrative,english,english,20050,7,english,prose
the_story_of_ferdinand_mor,narrative,english,english,20056,3,english,prose
rabbit_and_his_friends_mor,narrative,english,english,20056,2,english,prose
hand_hand_fingers_thumb_mor,nonnarrative,english,english,20056,2,english,rhyme
what_lily_goose_found_mor,narrative,english,english,20056,4,english,prose
shampoodle_mor,nonnarrative,english,english,20056,3,english,rhyme
big_dog_and_little_dog_going_for_a_walk_mor,narrative,english,english,20056,3,english,prose
are_we_there_yet_mor,narrative,english,english,20056,7,english,prose
when_were_together_mor,narrative,english,english,20056,3,english,rhyme
arthur_s_birthday_mor,narrative,english,english,20071,1,english,prose
mary_had_a_little_lamb_mor,nonnarrative,english,english,20071,1,english,rhyme
curious_george_and_the_bunny_mor,narrative,english,english,20073,4,english,prose
where_the_wild_things_are_mor,narrative,english,english,20086,2,english,prose
carnival_of_animals_clean,narrative,english,english,20086,2,english,rhyme
pat_a_cake_curious_george_mor,nonnarrative,english,english,20114,1,english,rhyme
horton_hatches_the_egg_mor,narrative,english,english,20127,1,english,rhyme
potty_time_with_elmo_mor,narrative,english,english,20127,1,english,prose
zoo_poo_mor,narrative,english,english,20132,1,english,rhyme
blue_train_green_train_mor,narrative,english,english,20132,1,english,rhyme
go_train_go_mor,narrative,english,english,20132,1,english,prose
little_feet_like_mor,nonnarrative,english,english,20132,1,english,frame
goodnight_moon_mor,nonnarrative,english,english,20132,1,english,rhyme
but_not_the_hippopotamus_mor,narrative,english,english,20161,2,english,frame
blue_hat_green_hat_mor,nonnarrative,english,english,20161,2,english,frame
doggies_mor,nonnarrative,english,english,20161,2,english,frame
I_know_an_old_lady_who_swallowed_a_fly_mor,narrative,english,english,20169,3,english,rhyme
I_like_bugs_mor,nonnarrative,english,english,20169,3,english,naming
I_know_my_mommy_loves_me_mor,narrative,english,english,20177,2,english,rhyme
mickey_mouse_and_the_pet_shop_mor,narrative,english,english,20177,1,english,prose
fluffy_chicks_and_friends_mor,narrative,english,english,20190,4,english,rhyme
let_s_go_to_the_zoo_mor,narrative,english,english,20190,5,english,rhyme
the_lady_with_the_alligator_purse_mor,narrative,english,english,20190,4,english,rhyme
the_very_busy_spider_mor,narrative,english,english,20191,1,english,frame
chicken_little_mor,narrative,english,english,20192,1,english,prose
thomas_and_friends_right_on_track_clean,narrative,english,english,20192,4,english,prose
mr_brown_can_moo_can_you_mor,narrative,english,english,20200,2,english,rhyme
what_makes_a_rainbow_mor,narrative,english,english,20200,1,english,prose
minnie_s_purpose_minnie_s_bowtique_mor,narrative,english,english,20200,2,english,prose
sisters_mor,narrative,english,english,20204,7,english,prose
the_guessing_machine_mor,narrative,english,english,20227,7,english,prose
finding_nemo_a_day_at_school_mor,narrative,english,english,20242,1,english,prose
one_fish_two_fish_red_fish_blue_fish_mor,narrative,english,english,20251,2,english,rhyme
goodnight_gorilla_mor,nonnarrative,english,english,20251,3,english,frame
tumble_bumble_mor,narrative,english,english,20251,3,english,rhyme
kittens_mor,nonnarrative,english,english,20251,2,english,prose
mouse_paint,narrative,english,english,7355,1,spanish,prose
en_el_mar_la_ballena_humphrey,narrative,spanish,spanish,7373,2,spanish,prose
clifford_y_la_hora_del_bano,narrative,spanish,spanish,7448,5,spanish,prose
la_nutria_potter_un_cuento_del_agua,narrative,spanish;english,spanish,7480,1,spanish,rhyme
desplumado,narrative,spanish;english,spanish;english,7574,1,spanish,prose
el_globito_perdito_y_encontrado_JBfeb10_2024_mor,narrative,spanish,spanish,7692,1,spanish,rhyme
demasiadas_peras,narrative,spanish;english,spanish,7739,1,spanish,prose
donde_esta_el_bebe,nonnarrative,spanish,spanish,7739,5,spanish,frame
el_cordero_lucy,narrative,spanish,spanish,7739,1,spanish,prose
first_100_ANIMALS_JBfeb20_2024_mor,nonnarrative,english,spanish,7739,3,spanish,naming
la_oruga_muy_hambrienta,narrative,spanish,spanish,7739,5,spanish,prose
te_quiero_abuelito,narrative,spanish,spanish,7739,1,spanish,prose
caillou_los_contrarios,narrative,spanish,spanish,7791,2,spanish,frame
clifford_y_los_opuestos,narrative,spanish;english,spanish;english,7791,1,spanish,frame
oso_pardo_oso_pardo_que_ves_ahi,narrative,spanish,spanish,7881,2,spanish,frame
las_familias,nonnarrative,spanish;english,spanish,7915,1,spanish,naming
que_sabroso_arco_iris,nonnarrative,spanish;english,spanish;english,7915,1,spanish,naming
te_quiero_mami,narrative,spanish,spanish,7915,1,spanish,prose
pio_peep,nonnarrative,spanish;english,spanish;english,7949,1,spanish,rhyme
camiones_de_basura,narrative,spanish;english,spanish,7949,4,spanish,prose
el_libro_de_seguridad_de_azulin,nonnarrative,spanish,spanish,7949,2,spanish,naming
oso_panda_oso_panda_que_ves_ahi,narrative,spanish,spanish,7949,3,spanish,frame
panda_grande_panda_pequeno,narrative,spanish,spanish,7949,5,spanish,rhyme
mi_primer_libro_de_figuras,nonnarrative,spanish;english,spanish,7995,1,spanish,naming
its_picnic_day_potter,narrative,spanish;english,spanish,8022,1,spanish,rhyme
leyendo_paso_a_paso_tinkerbell,narrative,spanish,spanish,8022,1,spanish,prose
clifford_y_los_sonidos_de_animales,narrative,spanish,spanish,8130,7,spanish,frame
demolition,nonnarrative,english,spanish,8130,10,spanish,naming
el_camioncito_azul,narrative,spanish,spanish,8144,2,spanish,rhyme
los_zapatos_perdidos_de_lola,narrative,spanish,spanish,8144,1,spanish,rhyme
unk,unknown,english,english,20003,12,english,unknown
unk_itsy_bitsy_spider,nonnarrative,english,english,20003,15,english,rhyme
unk,unknown,english,english,20048,11,english,unknown
mother_goose_in_california_mor,nonnarrative,english,english,20050,1,english,rhyme
the_berenstain_bears_new_baby_mor,narrative,english,english,20050,3,english,prose
telescope_overboard,narrative,english,english,20050,7,english,prose
mary_had_a_little_lamb_mor,nonnarrative,english,english,20071,11,english,rhyme
unk_the_carnival_of_the_animals,nonnarrative,english,english,20086,2,english,rhyme
unk_the_carnival_of_the_animals,nonnarrative,english,english,20086,4,english,rhyme
unk,unknown,english,english,20114,13,english,unknown
potty_time_with_elmo_mor,narrative,english,english,20127,7,english,prose
zoo_poo_mor,narrative,english,english,20132,4,english,rhyme
go_train_go_mor,narrative,english,english,20132,4,english,prose
doggies_mor,nonnarrative,english,english,20161,5,english,frame
unk_polar_babies,narrative,english,english,20177,1,english,rhyme
unk_polar_babies,narrative,english,english,20177,2,english,rhyme
unk,unknown,english,english,20177,6,english,unknown
babys_first_sounds,nonnarrative,english,english,20190,1,english,naming
unk_noahs_ark,narrative,english,english,20191,4,english,prose
right_on_track,narrative,english,english,20192,4,english,prose
unk_my_little_train,narrative,english,english,20227,2,english,rhyme
finding_nemo_a_day_at_school_mor,narrative,english,english,20242,3,english,prose
en_el_mar_la_ballena_humphrey_JBfeb10_2024_mor,narrative,spanish,spanish,7373,3,spanish,prose
unk,narrative,unknown,spanish,7448,5,spanish,prose
unk,narrative,unknown,spanish,7473,1,spanish,prose
unk,narrative,unknown,spanish;english,7473,5,spanish,unknown
unk,unknown,unknown,spanish,7550,1,spanish,unknown
unk,nonnarrative,unknown,spanish,7580,1,spanish,frame
unk,unknown,unknown,spanish,7739,3,spanish,rhyme
unk_el_patito_feo,unknown,unknown,spanish,7339,3,spanish,unknown
unk,narrative,unknown,spanish,7739,4,spanish,unknown
unk,nonnarrative,unknown,spanish;english,7791,1,spanish,frame
unk,nonnarrative,english,spanish;english,7791,1,spanish,frame
unk,unknown,unknown,spanish,7881,3,spanish,unknown
unk,nonnarrative,english,spanish;english,7915,3,spanish,naming
el_libro_de_seguridad_de_azulin,nonnarrative,spanish,spanish,7949,6,spanish,naming
pio_peep,nonnarrative,spanish;english,spanish;english,7949,2,spanish,rhyme
pio_peep,nonnarrative,spanish;english,spanish;english,7949,3,spanish,rhyme
pio_peep,nonnarrative,spanish;english,spanish;english,7949,4,spanish,rhyme
pio_peep,nonnarrative,spanish;english,spanish;english,7949,5,spanish,rhyme
unk,unknown,unknown,spanish,7995,1,spanish,unknown
its_picnic_day_potter,narrative,spanish,spanish,8022,7,spanish,rhyme
leyendo_paso_a_paso_tinkerbell,narrative,spanish,spanish,8022,3,spanish,prose
unk,unknown,unknown,spanish,8098,24,spanish,unknown
