family_id,sex,birthorder,momed,hollingshead,age,mom_yrs_US,mom_country_birth,language,num_identified_titles_read,num_book_episodes,num_rec_days_books_only
20003,female,1,16,50,25,NA,NA,english,0,2,2
20034,female,2,12,43.5,25,NA,NA,english,5,1,1
20048,female,1,14,38.5,25,NA,NA,english,1,2,2
20050,female,1,17,56,25,NA,NA,english,6,5,1
20056,female,1,18,61,24,NA,NA,english,8,4,2
20071,male,2,16,51.5,25,NA,NA,english,2,1,1
20073,female,1,16,48,23,NA,NA,english,1,1,1
20086,male,1,16,63,24,NA,NA,english,2,1,1
20114,male,2,14,45,23,NA,NA,english,1,2,1
20127,female,3,16,39,24,NA,NA,english,2,1,1
20132,male,1,13,15,24,NA,NA,english,5,1,1
20161,female,1,14,46.5,23,NA,NA,english,3,1,1
20169,female,1,16,64.5,23,NA,NA,english,2,1,1
20177,male,1,18,57,23,NA,NA,english,2,2,2
20190,male,3,18,41.5,24,NA,NA,english,3,3,2
20191,female,2,16,48,24,NA,NA,english,1,2,1
20192,male,6,13,35,24,NA,NA,english,2,2,2
20200,female,1,14,35,25,NA,NA,english,3,2,2
20204,female,2,14,33.5,23,NA,NA,english,1,1,1
20227,female,2,16,44,25,NA,NA,english,1,2,1
20242,male,3,14,33.5,24,NA,NA,english,1,1,1
20251,female,1,16,45.5,24,NA,NA,english,4,2,1
7355,female,5,12,25,26.4,14,mexico,spanish,1,1,1
7373,male,2,12,22.5,25.7,8,mexico,spanish,1,1,1
7448,male,2,8,24,25.8,11,nicaragua,spanish,1,1,1
7473,male,1,12,19,25.2,8,mexico,spanish,0,1,1
7480,female,3,11,29,25.5,15,mexico,spanish,1,1,1
7550,female,4,16,31.5,25.7,21,mexico,spanish,0,1,1
7574,female,3,7,13,25.1,21,mexico,spanish,1,1,1
7579,male,2,16,25.5,25.4,16,mexico,spanish,1,1,1
7580,female,2,12,32,26.2,8,mexico,spanish,0,1,1
7692,male,1,14,19,25.3,14,mexico,spanish,1,1,1
7739,female,1,9,13.5,25.3,10,mexico,spanish,6,2,2
7791,male,1,16,63,25.4,5,mexico,spanish,2,1,1
7881,male,3,6,8,25.4,16,mexico,spanish,1,2,1
7915,female,3,9,17.5,25.1,18,mexico,spanish,3,2,2
7949,female,1,16,43,25.2,34,us,spanish,5,3,2
7995,female,2,9,21,25.3,9,mexico,spanish,1,1,1
8022,female,1,18,53.5,25.2,5,mexico,spanish,2,1,1
8098,male,1,15,46.5,24.6,5,colombia,spanish,0,1,1
8130,male,3,16,31.5,25.1,14,mexico,spanish,2,2,2
8144,female,2,12,19,26.6,18,mexico,spanish,2,2,2
